Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Bud's Knotty Problem""[44]",20,4a,13-Oct-16,"Bud falls in love with his new pair of boots, but must learn to tie his shoes.[46]",https://static.wikia.nocookie.net/arthur/images/f/fe/Bud%27s_Knotty_Problem_main_image.png/revision/latest?cb=20180610233512,https://arthur.fandom.com/wiki/Bud%27s_Knotty_Problem
"""That's MY Grandma!""[44]",20,4b,13-Oct-16,D.W. is jealous when Grandma Thora becomes the town's most popular babysitter.[46],https://static.wikia.nocookie.net/arthur/images/f/f4/That%27s_MY_Grandma%21_main_image.png/revision/latest?cb=20180310053610,https://arthur.fandom.com/wiki/That%27s_MY_Grandma!
"""Lend Me Your Ear""",20,5a[47],30-May-17,"Arthur, Buster, and Alan are worried when Mr. Ratburn isn't acting like himself. He's always pleased to see them...so what has made him change his tune?",https://static.wikia.nocookie.net/arthur/images/e/ef/Lendmeyourearscreenshot.png/revision/latest?cb=20200320195009,https://arthur.fandom.com/wiki/Lend_Me_Your_Ear
"""The Butler Did It""",20,5b[47],30-May-17,"When Mr. Crosswire gets a robot butler for Father's Day, Muffy fears Bailey may be replaced.",https://static.wikia.nocookie.net/arthur/images/b/be/Tbdi.png/revision/latest?cb=20180224213806,https://arthur.fandom.com/wiki/The_Butler_Did_It
"""Prunella's Tent of Portent""",20,6a[49],31-May-17,"At the Elwood City Picnic, Prunella pretends she can see the future at her fortune telling booth. But her best friend, Marina, doubts her mystical powers.",https://static.wikia.nocookie.net/arthur/images/4/45/2006atentofportent.png/revision/latest?cb=20180318174415,https://arthur.fandom.com/wiki/Prunella%27s_Tent_of_Portent
"""Mutiny on the Pitch""",20,6b[49],31-May-17,"The Lakewood Elementary soccer team has had enough of Francine's bossy behavior. To show the team how much they need her, she gives up her post to the most unlikely teammate...Buster!",https://static.wikia.nocookie.net/arthur/images/a/ae/2006bmutinyonthepitch.png/revision/latest?cb=20180318174926,https://arthur.fandom.com/wiki/Mutiny_on_the_Pitch
"""The Hallway Minotaur""",20,7a[51],1-Jun-17,"Attention Lakewood Elementary! There's a new sheriff, er, hallway monitor in town and his name is George Lundgren.",https://static.wikia.nocookie.net/arthur/images/2/2d/Aardvark4762.png/revision/latest?cb=20220615114016,https://arthur.fandom.com/wiki/The_Hallway_Minotaur
"""Ladonna's Like List""",20,7b[51],1-Jun-17,"Ladonna is friendly, funny, and full of personality. Everyone likes her! At least, that's what she thought...",https://static.wikia.nocookie.net/arthur/images/d/db/Likelist.png/revision/latest?cb=20200108050841,https://arthur.fandom.com/wiki/Ladonna%27s_Like_List
"""Binky's 'A' Game""[52]",21,1a,"October 24, 201","When Binky gets an ""A"" on a test, Muffy and Francine are convinced he cheated. Is it possible that he actually studied?",https://static.wikia.nocookie.net/arthur/images/6/63/Binky%27s_%27A%27_Game_main_image.png/revision/latest?cb=20190216210017,https://arthur.fandom.com/wiki/Binky%27s_%27A%27_Game
"""Brain and the Time Capsule""[52]",21,1b,"October 24, 201",The Brain makes a time capsule and gets overwhelmed by people asking to have their special belongings included. Will he make room for them or give them the boot?,https://static.wikia.nocookie.net/arthur/images/e/e7/Brain_and_the_Time_Capsule_main_image.png/revision/latest?cb=20190216210258,https://arthur.fandom.com/wiki/Brain_and_the_Time_Capsule
"""The Master Builders""[53]",21,2,24-Oct-17,"Buster struggles to build a birdhouse that will save the community garden from pests, while Muffy and Francine design a cat toy that they think will really change the pet toy game.",https://static.wikia.nocookie.net/arthur/images/7/7f/The_Master_Builders_main_image.png/revision/latest?cb=20190216210802,https://arthur.fandom.com/wiki/The_Master_Builders
"""Francine & the Soccer Spy""[11]",21,3a,"October 26, 201","When Ladonna befriends a new member of the Mighty Mountain Elementary Soccer Team, Francine becomes convinced she is leaking top secret team info.",https://static.wikia.nocookie.net/arthur/images/4/4e/Francine_and_the_Soccer_Spy_main_image.png/revision/latest?cb=20180320024206,https://arthur.fandom.com/wiki/Francine_%26_the_Soccer_Spy
"""Sue Ellen & the Last Page""[11]",21,3b,"October 26, 201",The City Council has voted to close the library! Can Sue Ellen save it before it's too late?,https://static.wikia.nocookie.net/arthur/images/1/12/Last_Page.png/revision/latest?cb=20190216211109,https://arthur.fandom.com/wiki/Sue_Ellen_%26_the_Last_Page
"""Muffy Misses Out""[46]",21,4a,12-Feb-18,Muffy worries that her friends don't need her anymore when they plan a bake sale without her.[46],https://static.wikia.nocookie.net/arthur/images/6/6b/Muffy_Misses_Out_main_image.png/revision/latest?cb=20190216211255,https://arthur.fandom.com/wiki/Muffy_Misses_Out
"""Arthur Takes a Stand""[46]",21,4b,12-Feb-18,Arthur thinks Mrs. MacGrady is being treated unfairly and seeks guidance from Congressman John Lewis.[46],https://static.wikia.nocookie.net/arthur/images/4/40/Atas.png/revision/latest?cb=20180224030803,https://arthur.fandom.com/wiki/Arthur_Takes_a_Stand
"""Slink's Special Talent""[48]",21,5a,13-Feb-18,"When Rattles takes over Slink's paper route, Slink is determined to prove himself and earn it back.",https://static.wikia.nocookie.net/arthur/images/b/ba/Sst.png/revision/latest?cb=20180224031653,https://arthur.fandom.com/wiki/Slink%27s_Special_Talent
"""Take a Hike, Molly""[48]",21,5b,13-Feb-18,"When the Tough Customers go on a hike in the woods, Molly makes a few mistakes and has to apologize...but she refuses to!",https://static.wikia.nocookie.net/arthur/images/1/17/2105btakeahikemolly.png/revision/latest?cb=20180318210840,"https://arthur.fandom.com/wiki/Take_a_Hike,_Molly"
"""The Lost Dinosaur""[50]",21,6a,14-Feb-18,It's pretty hard to lose a dinosaur...but Rapty is missing! Can Bud be brave without his imaginary friend?,https://static.wikia.nocookie.net/arthur/images/a/ae/The_Lost_Dinosaur_main_image.png/revision/latest?cb=20190930233926,https://arthur.fandom.com/wiki/The_Lost_Dinosaur
"""The Princess Problem""[50]",21,6b,14-Feb-18,"D.W. loves the Princess Platoon series until she realizes that it doesn't represent everyone. With the help of Arthur's friend, Lydia, she discovers the true qualities of a princess.",https://static.wikia.nocookie.net/arthur/images/7/71/The_Princess_Problem_main_image.png/revision/latest?cb=20180211063150,https://arthur.fandom.com/wiki/The_Princess_Problem
"""Invasion of the Soccer Fans""[58]",21,7a,15-Feb-18,"Kate appears to be hypnotized by the soccer game on the television! Can Pal, Amigo, and Killer snap her out of her TV trance?",https://static.wikia.nocookie.net/arthur/images/a/ab/Invasion_of_the_Soccer_Fans_main_image.png/revision/latest?cb=20200108051606,https://arthur.fandom.com/wiki/Invasion_of_the_Soccer_Fans
"""Pal and the Big Itch""[58]",21,7b,15-Feb-18,"When Pal has to wear a cone, he takes advantage of his friends' special treatment...and the decision comes back to bite him.",https://static.wikia.nocookie.net/arthur/images/f/fa/Screen_Shot_2018-01-11_at_8.34.22_AM_1.png/revision/latest?cb=20180111133927,https://arthur.fandom.com/wiki/Pal_and_the_Big_Itch
"""Mr. Ratburn and the Special Someone""[52]",22,1a,13-May-19,The gang can't believe that Mr. Ratburn is getting married.,https://static.wikia.nocookie.net/arthur/images/d/d3/Mr._Ratburn_and_the_Special_Someone.png/revision/latest?cb=20210912172222,https://arthur.fandom.com/wiki/Mr._Ratburn_and_the_Special_Someone
